Subscription Name,Subscription ID,Organization,Environment,Resource Group,VNet,Subnet,Address Prefix,Next Hop Type,Next Hop IP,Route Source,Route Table,Route Name,NIC ID
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,EAST_US,app-dmz-prod-01,0.0.0.0/0,VirtualAppliance,10.91.200.4,User,p01-eus-zsc-rt,p01-eus-zsc-route,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/CLOUD-INVENTORY-PA-BLKBRG-01/providers/Microsoft.Network/networkInterfaces/AZR0PSNMAW01-NIC01
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,EAST_US,app-dmz-nonprod-01,0.0.0.0/0,VirtualAppliance,10.91.200.4,User,p01-eus-zsc-rt,p01-eus-zsc-route,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/BBCRM-DB-APD-BLKBRG-01/providers/Microsoft.Network/networkInterfaces/AZR0DBBCRM01-NIC01
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,WEST_EUROPE,inf-nondmz-prod-01,0.0.0.0/0,VirtualAppliance,10.94.172.132,User,p01-weu-zsc-rt,p01-weu-zsc-route,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/BBIT-DISKENCRY-QA-BLKBRG-WEU-01/providers/Microsoft.Network/networkInterfaces/AZR0PMFTUKS01-NIC01
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,WEST_EUROPE,inf-nondmz-prod-01,10.0.0.0/8,VirtualAppliance,10.96.255.12,User,p01-weu-zsc-rt,10.0.0.0_255.0.0.0,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/BBIT-DISKENCRY-QA-BLKBRG-WEU-01/providers/Microsoft.Network/networkInterfaces/AZR0PMFTUKS01-NIC01
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,WEST_EUROPE,AZRWECSR-EXTERNAL,0.0.0.0/0,VirtualAppliance,10.94.172.132,User,p01-weu-dmvpn-rt,default-to-zscaler,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/WEST_EUROPE_NETWORK/providers/Microsoft.Network/networkInterfaces/AZRWECSR01-NIC0
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,WEST_EUROPE,AZRWECSR-INTERNAL,0.0.0.0/0,VirtualAppliance,10.94.172.132,User,p01-weu-dmvpn-rt,default-to-zscaler,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/ROUTEABLE-PA-NET-BLKBRG-02/providers/Microsoft.Network/networkInterfaces/AZRWEVRR01945_Z1
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,WEST_EUROPE,AZRWECSR-EXTERNAL1,0.0.0.0/0,VirtualAppliance,10.94.172.132,User,p01-weu-dmvpn-rt,default-to-zscaler,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/ROUTEABLE-PA-NET-BLKBRG-02/providers/Microsoft.Network/networkInterfaces/AZRWEVRR-NIC-PIP
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,WEST_US,inf-nondmz-prod-01,0.0.0.0/0,VirtualAppliance,10.91.200.4,User,p01-we-zsc-rt,p01-wus-zsc-route,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/DOMAINSERVICES-PA-INF-BLKBRG-01/providers/Microsoft.Network/networkInterfaces/AZR0PWUSADC01296
Networking Test - E01,7253b84c-2f1a-4b10-9046-1fbdcc4334f1,RDO,Test,e01eus2-l1cc-rg,e01eus2-l1cc-vnet,e01eus2-l1cc-cc-subnet-1,0.0.0.0/0,VirtualAppliance,198.18.8.4,User,e01eus2-l1cc-rt,e01eus2-l1cc-fw-route,/subscriptions/7253b84c-2f1a-4b10-9046-1fbdcc4334f1/resourceGroups/E01EUS2-L1CC-RG/providers/Microsoft.Network/networkInterfaces/E01EUS2-L1CC-CCVM-1-FWD-NIC
Networking Test - E01,7253b84c-2f1a-4b10-9046-1fbdcc4334f1,RDO,Test,e01-zsac-rg01-eus2,e01-zsac-vnet01-eus2,e01-eus2-zsac-ac-subnet-1,0.0.0.0/0,Internet,,Default,,,/subscriptions/7253b84c-2f1a-4b10-9046-1fbdcc4334f1/resourceGroups/E01-ZSAC-RG01-EUS2/providers/Microsoft.Network/networkInterfaces/E01-EUS2-ZSAC-AC-NIC-1
Networking Test - E01,7253b84c-2f1a-4b10-9046-1fbdcc4334f1,RDO,Test,e01-zscc-rg,e01-zscc-vnet,e01-zscc-cc-subnet-1,0.0.0.0/0,VirtualAppliance,10.192.33.4,User,rt-zscaler,route-firewall,/subscriptions/7253b84c-2f1a-4b10-9046-1fbdcc4334f1/resourceGroups/E01-TENB-RG/providers/Microsoft.Network/networkInterfaces/E01-ZSCC-TENB-VM-138
